,Gemeindekennziffer,Gemeindename,Gemeindecode,Status,PLZ des Gem.Amtes,weitere Postleitzahlen,Einwohner,Arbeitsstätten,Beschäftigte,Alter,Einkommen,Erbwerbstätige (15-64),Grundstückspreise,Anzahl an Ehepaaren,Anzahl der Kinder
123,10813,Neckenmarkt,10813,M,7311,,1679,0.09410363311494938,0.3132817153067302,46.0,43.248,0.4782608695652174,25.9,0.24836212030970817,1.63
124,10814,Neutal,10814,,7343,,1091,0.10265811182401467,1.0815765352887259,45.72,41.144,0.44912923923006415,31.6,0.23373052245646195,1.58
125,10815,Nikitsch,10815,,7302,7361,1402,0.0905848787446505,0.18687589158345222,52.21,42.361,0.3744650499286733,9.3,0.21683309557774608,1.62
126,10816,Oberpullendorf,10816,ST,7350,7304,3265,0.13721286370597244,0.9828483920367534,45.95,39.652,0.45176110260336905,55.4,0.18346094946401226,1.54
127,10817,Pilgersdorf,10817,,7441,,1621,0.05798889574336829,0.1295496607032696,46.49,41.74,0.49537322640345466,17.7,0.22146822948797038,1.54
128,10818,Piringsdorf,10818,,7373,,857,0.061843640606767794,0.14469078179696615,45.39,39.519,0.45857642940490084,17.7,0.21353558926487748,1.56
129,10819,Raiding,10819,M,7321,,903,0.058693244739756366,0.25692137320044295,48.9,40.773,0.40753045404208194,14.6,0.21040974529346623,1.59
130,10820,Ritzing,10820,,7323,,899,0.07675194660734148,0.20133481646273638,49.43,44.703,0.40934371523915464,22.2,0.23581757508342602,1.56
131,10821,Steinberg-Dörfl,10821,M,7453,,1279,0.07427677873338545,0.37607505863956214,46.42,42.133,0.4792806880375293,20.5,0.23534010946051603,1.53
132,10822,Stoob,10822,M,7344,,1370,0.09708029197080292,0.637956204379562,45.73,41.183,0.5094890510948905,31.6,0.22554744525547446,1.61
133,10823,Weppersdorf,10823,M,7331,,1813,0.07446221731936017,0.32156646442360726,45.79,42.654,0.46662989520132375,19.5,0.21842250413678985,1.64
134,10824,Lackendorf,10824,,7321,,582,0.06701030927835051,0.19415807560137457,47.01,39.045,0.5017182130584192,19.5,0.21993127147766323,1.55
135,10825,Unterfrauenhaid,10825,M,7321,,644,0.05745341614906832,0.21894409937888198,44.79,40.364,0.4891304347826087,14.6,0.20031055900621117,1.56
136,10826,Unterrabnitz-Schwendgraben,10826,,7371,,639,0.09076682316118936,0.27543035993740217,43.19,38.142,0.486697965571205,17.7,0.2112676056338028,1.6
137,10827,Weingraben,10827,,7374,,355,0.07887323943661972,0.17746478873239438,47.84,38.433,0.43380281690140843,20.1,0.23943661971830985,1.55
138,10828,Oberloisdorf,10828,,7451,,792,0.050505050505050504,0.1351010101010101,45.4,39.571,0.5214646464646465,20.5,0.22727272727272727,1.53
139,10901,Bad Tatzmannsdorf,10901,,7431,,1600,0.116875,1.056875,46.84,41.61,0.471875,54.4,0.195625,1.54
140,10902,Bernstein,10902,M,7434,2852,2079,0.0784030784030784,0.240981240981241,48.75,44.016,0.4531024531024531,16.7,0.2303992303992304,1.44
141,10903,Deutsch Schützen-Eisenberg,10903,,7474,,1083,0.10987996306555864,0.2123730378578024,51.63,40.871,0.43951985226223456,7.8,0.23730378578024008,1.41
142,10904,Grafenschachen,10904,,7423,,1249,0.07365892714171338,0.5116092874299439,44.15,39.256,0.5236188951160928,20.7,0.2233787029623699,1.52
143,10905,Großpetersdorf,10905,M,7503,,3549,0.08227669766131304,0.5429698506621583,46.92,39.839,0.44942237249929556,25.6,0.20512820512820512,1.52
144,10906,Hannersdorf,10906,,7473,7474,746,0.07372654155495978,0.2640750670241287,49.63,41.64,0.4477211796246649,7.8,0.21983914209115282,1.53
145,10907,Kemeten,10907,,7531,,1495,0.06956521739130435,0.26755852842809363,45.39,39.511,0.48762541806020065,13.6,0.20334448160535118,1.48
146,10908,Kohfidisch,10908,M,7512,,1448,0.07044198895027624,0.2265193370165746,47.47,41.943,0.44337016574585636,7.8,0.2244475138121547,1.45
147,10909,Litzelsdorf,10909,M,7532,,1133,0.09002647837599294,0.27184466019417475,46.65,38.515,0.48278905560458957,13.6,0.23036187113857018,1.52
148,10910,Loipersdorf-Kitzladen,10910,,7410,,1353,0.07095343680709534,0.3983739837398374,41.18,34.602,0.5011086474501109,20.7,0.2106430155210643,1.62
149,10911,Mariasdorf,10911,M,7433,,1139,0.0649692712906058,0.17647058823529413,47.62,41.645,0.48375768217734855,16.7,0.228270412642669,1.54
150,10912,Markt Allhau,10912,M,7411,,1873,0.09289909236518953,0.4703683929524827,44.13,40.572,0.4719701014415376,20.7,0.2172984516817939,1.55
151,10913,Markt Neuhodis,10913,M,7464,,659,0.10318664643399089,0.18361153262518967,48.27,41.433,0.4309559939301973,15.0,0.22610015174506828,1.48
152,10914,Mischendorf,10914,,7511,,1527,0.05893909626719057,0.12966601178781925,48.71,40.339,0.4636542239685658,11.5,0.23903077930582842,1.52
153,10915,Oberdorf im Burgenland,10915,,7501,,1010,0.05841584158415842,0.13366336633663367,46.85,40.089,0.47227722772277225,11.5,0.22376237623762377,1.59
154,10916,Oberschützen,10916,,7432,2852 7400 7431,2452,0.09216965742251224,0.3307504078303426,45.0,41.208,0.4465742251223491,23.9,0.20880913539967375,1.67
155,10917,Oberwart,10917,ST,7400,,7662,0.1611850691725398,1.0305403288958497,44.32,40.461,0.450404594100757,64.8,0.17815191855912293,1.57
156,10918,Pinkafeld,10918,ST,7423,,5882,0.0768446106766406,0.5861951717103027,43.88,39.726,0.4454267256035362,40.1,0.18531111866712002,1.58
157,10919,Rechnitz,10919,M,7471,,2937,0.06741573033707865,0.2900919305413687,47.81,38.25,0.4371807967313585,15.0,0.20326864147088866,1.54
158,10920,Riedlingsdorf,10920,M,7422,,1647,0.050394656952034,0.21493624772313297,44.69,37.817,0.4936247723132969,23.9,0.21250758955676988,1.53
159,10921,Rotenturm an der Pinka,10921,M,7501,,1433,0.08164689462665736,0.25819958129797627,45.58,38.88,0.48080949057920447,11.5,0.21702721563154223,1.57
160,10922,Schachendorf,10922,,7472,7503,747,0.09370816599732262,0.21285140562248997,46.98,44.168,0.4243641231593039,15.0,0.22088353413654618,1.73
161,10923,Stadtschlaining,10923,ST,7461,7400,2004,0.06686626746506986,0.1751497005988024,47.04,39.809,0.437624750499002,16.7,0.22604790419161677,1.55
162,10924,Unterkohlstätten,10924,,7435,7434,1002,0.07385229540918163,0.27045908183632733,46.04,42.786,0.47305389221556887,16.7,0.25249500998003993,1.51
163,10925,Unterwart,10925,,7501,7502,959,0.10010427528675704,0.7320125130344108,43.99,37.874,0.4504692387904067,31.4,0.20333680917622524,1.68
164,10926,Weiden bei Rechnitz,10926,,7463,7461 7503,831,0.08062575210589651,0.13598074608904934,49.4,38.313,0.4091456077015644,16.7,0.20577617328519857,1.7
165,10927,Wiesfleck,10927,,7423,7425,1165,0.07124463519313305,0.15278969957081545,42.84,35.962,0.5253218884120172,23.9,0.23261802575107296,1.59
166,10928,Wolfau,10928,M,7412,,1435,0.06550522648083623,0.24181184668989547,43.02,36.679,0.5024390243902439,13.6,0.1867595818815331,1.57
167,10929,Neustift an der Lafnitz,10929,M,7423,,804,0.07462686567164178,0.17537313432835822,41.29,40.639,0.5199004975124378,31.4,0.19651741293532338,1.62
168,10930,Jabing,10930,,7503,,754,0.058355437665782495,0.10079575596816977,47.47,39.508,0.4588859416445623,12.6,0.23607427055702918,1.55
